Epoch 1, Train Loss: 57.5219, Train Acc: 0.9287, Val Acc: 0.9442, Precision: 0.9171, Recall: 0.9767, F1: 0.9459
Epoch 2, Train Loss: 18.2106, Train Acc: 0.9810, Val Acc: 0.9608, Precision: 0.9631, Recall: 0.9583, F1: 0.9607
Epoch 3, Train Loss: 8.0123, Train Acc: 0.9921, Val Acc: 0.9575, Precision: 0.9449, Recall: 0.9717, F1: 0.9581
Epoch 4, Train Loss: 9.0457, Train Acc: 0.9912, Val Acc: 0.9558, Precision: 0.9757, Recall: 0.9350, F1: 0.9549
Epoch 5, Train Loss: 4.8853, Train Acc: 0.9956, Val Acc: 0.9475, Precision: 0.9163, Recall: 0.9850, F1: 0.9494
Epoch 6, Train Loss: 3.6596, Train Acc: 0.9962, Val Acc: 0.9625, Precision: 0.9512, Recall: 0.9750, F1: 0.9630
Epoch 7, Train Loss: 3.7514, Train Acc: 0.9958, Val Acc: 0.9617, Precision: 0.9663, Recall: 0.9567, F1: 0.9615
Epoch 8, Train Loss: 3.5411, Train Acc: 0.9952, Val Acc: 0.9600, Precision: 0.9662, Recall: 0.9533, F1: 0.9597
Epoch 9, Train Loss: 4.2515, Train Acc: 0.9971, Val Acc: 0.9542, Precision: 0.9489, Recall: 0.9600, F1: 0.9544
Epoch 10, Train Loss: 5.7645, Train Acc: 0.9946, Val Acc: 0.9558, Precision: 0.9691, Recall: 0.9417, F1: 0.9552
Epoch 11, Train Loss: 1.7195, Train Acc: 0.9990, Val Acc: 0.9583, Precision: 0.9464, Recall: 0.9717, F1: 0.9589
Epoch 12, Train Loss: 3.0920, Train Acc: 0.9973, Val Acc: 0.9533, Precision: 0.9595, Recall: 0.9467, F1: 0.9530
Epoch 13, Train Loss: 4.4486, Train Acc: 0.9960, Val Acc: 0.9567, Precision: 0.9536, Recall: 0.9600, F1: 0.9568
Epoch 14, Train Loss: 4.0682, Train Acc: 0.9967, Val Acc: 0.9625, Precision: 0.9727, Recall: 0.9517, F1: 0.9621
Epoch 15, Train Loss: 0.9577, Train Acc: 0.9994, Val Acc: 0.9608, Precision: 0.9601, Recall: 0.9617, F1: 0.9609
